datetime,rssi
2025-10-04 20:00:51.950015,-81
2025-10-04 20:00:51.961201,-80
2025-10-04 20:00:52.150093,-84
2025-10-04 20:00:52.182793,-85
2025-10-04 20:00:52.194379,-84
2025-10-04 20:00:52.395154,-87
2025-10-04 20:00:52.447978,-76
2025-10-04 20:00:52.459116,-76
2025-10-04 20:00:52.480879,-73
2025-10-04 20:00:52.491840,-72
2025-10-04 20:00:52.618709,-89
2025-10-04 20:00:52.630269,-89
2025-10-04 20:00:53.534204,-58
2025-10-04 20:00:53.555379,-58
2025-10-04 20:00:53.731193,-63
2025-10-04 20:00:53.742064,-70
2025-10-04 20:00:53.752797,-62
2025-10-04 20:00:53.763644,-67
2025-10-04 20:00:53.784720,-67
2025-10-04 20:00:53.815974,-64
2025-10-04 20:00:54.372914,-62
2025-10-04 20:00:55.533401,-90
2025-10-04 20:00:55.544283,-89
2025-10-04 20:00:55.720438,-91
2025-10-04 20:00:56.691975,-91
2025-10-04 20:00:56.703526,-93
2025-10-04 20:00:56.890885,-92
2025-10-04 20:00:58.845172,-58
2025-10-04 20:00:58.867899,-58
2025-10-04 20:00:58.921418,-60
2025-10-04 20:00:59.571393,-95
2025-10-04 20:00:59.758508,-65
2025-10-04 20:00:59.779860,-65
2025-10-04 20:01:01.016724,-94
2025-10-04 20:01:01.524644,-91
2025-10-04 20:01:01.535472,-93
2025-10-04 20:01:01.546312,-52
2025-10-04 20:01:01.557086,-54
2025-10-04 20:01:01.680586,-89
2025-10-04 20:01:01.732182,-53
2025-10-04 20:01:01.753014,-92
2025-10-04 20:01:01.763633,-53
2025-10-04 20:01:01.835530,-60
2025-10-04 20:01:02.164531,-90
2025-10-04 20:01:02.175390,-90
2025-10-04 20:01:02.186178,-89
2025-10-04 20:01:02.703654,-55
2025-10-04 20:01:02.724916,-55
2025-10-04 20:01:02.891694,-90
2025-10-04 20:01:02.912730,-63
2025-10-04 20:01:02.944333,-66
2025-10-04 20:01:02.965744,-52
2025-10-04 20:01:02.976575,-69
2025-10-04 20:01:03.236871,-69
2025-10-04 20:01:03.434601,-55
2025-10-04 20:01:03.486429,-54
2025-10-04 20:01:04.262844,-82
2025-10-04 20:01:04.273687,-82
2025-10-04 20:01:04.284517,-82
2025-10-04 20:01:05.528220,-93
2025-10-04 20:01:05.703574,-94
2025-10-04 20:01:05.930843,-91
2025-10-04 20:01:06.034652,-93
2025-10-04 20:01:07.328704,-95
2025-10-04 20:01:07.339764,-94
2025-10-04 20:01:07.698107,-88
2025-10-04 20:01:07.739480,-89
2025-10-04 20:01:07.750219,-90
2025-10-04 20:01:08.496479,-90
2025-10-04 20:01:08.517008,-90
2025-10-04 20:01:08.608850,-92
2025-10-04 20:01:08.619268,-94
2025-10-04 20:01:09.776215,-55
2025-10-04 20:01:09.796742,-55
2025-10-04 20:01:09.817376,-55
2025-10-04 20:01:09.827769,-92
2025-10-04 20:01:09.838184,-55
2025-10-04 20:01:09.900157,-56
2025-10-04 20:01:10.067280,-65
2025-10-04 20:01:10.141454,-60
2025-10-04 20:01:10.152599,-60
2025-10-04 20:01:10.174455,-61
2025-10-04 20:01:10.206436,-59
2025-10-04 20:01:10.238245,-60
2025-10-04 20:01:10.259483,-59
2025-10-04 20:01:10.281237,-61
2025-10-04 20:01:10.323604,-63
2025-10-04 20:01:10.609696,-74
2025-10-04 20:01:10.630868,-74
2025-10-04 20:01:10.662619,-63
2025-10-04 20:01:10.694510,-63
2025-10-04 20:01:10.715595,-64
2025-10-04 20:01:10.768180,-62
2025-10-04 20:01:10.800425,-59
2025-10-04 20:01:11.031290,-91
2025-10-04 20:01:11.042151,-92
2025-10-04 20:01:11.052782,-89
2025-10-04 20:01:11.063241,-90
2025-10-04 20:01:11.073728,-91
2025-10-04 20:01:11.084324,-91
2025-10-04 20:01:11.094777,-86
2025-10-04 20:01:11.105453,-91
2025-10-04 20:01:11.116119,-89
2025-10-04 20:01:11.126806,-87
2025-10-04 20:01:11.157859,-90
2025-10-04 20:01:11.220337,-92
2025-10-04 20:01:11.476766,-94
2025-10-04 20:01:11.517684,-92
2025-10-04 20:01:12.663075,-73
2025-10-04 20:01:12.704463,-72
2025-10-04 20:01:12.829882,-69
2025-10-04 20:01:13.109566,-97
2025-10-04 20:01:13.391077,-92
2025-10-04 20:01:13.401997,-93
2025-10-04 20:01:13.547350,-90
2025-10-04 20:01:13.558314,-89
2025-10-04 20:01:13.653108,-83
2025-10-04 20:01:13.684486,-88
2025-10-04 20:01:15.662502,-89
2025-10-04 20:01:16.303074,-39
2025-10-04 20:01:16.324562,-41
2025-10-04 20:01:16.542856,-46
2025-10-04 20:01:16.563910,-46
2025-10-04 20:01:16.969776,-90
2025-10-04 20:01:16.991092,-96
2025-10-04 20:01:17.001866,-92
2025-10-04 20:01:17.322301,-88
2025-10-04 20:01:17.415894,-86
2025-10-04 20:01:17.437093,-85
2025-10-04 20:01:17.550822,-91
2025-10-04 20:01:17.561602,-85
2025-10-04 20:01:17.728112,-84
2025-10-04 20:01:17.749080,-85
2025-10-04 20:01:17.759730,-86
2025-10-04 20:01:17.842154,-93
2025-10-04 20:01:17.893684,-94
2025-10-04 20:01:18.525019,-48
2025-10-04 20:01:18.587909,-47
2025-10-04 20:01:18.899557,-94
2025-10-04 20:01:19.284518,-88
2025-10-04 20:01:19.305866,-88
2025-10-04 20:01:19.523134,-94
2025-10-04 20:01:19.533912,-93
2025-10-04 20:01:19.710137,-88
2025-10-04 20:01:19.720880,-84
2025-10-04 20:01:19.752696,-94
2025-10-04 20:01:19.763721,-87
2025-10-04 20:01:19.994534,-60
2025-10-04 20:01:20.015560,-93
2025-10-04 20:01:21.451344,-85
2025-10-04 20:01:21.461908,-79
2025-10-04 20:01:22.901547,-94
2025-10-04 20:01:22.922520,-91
2025-10-04 20:01:22.943560,-93
2025-10-04 20:01:23.005852,-93
2025-10-04 20:01:23.047550,-63
2025-10-04 20:01:23.359542,-89
2025-10-04 20:01:23.453267,-90
2025-10-04 20:01:23.546541,-87
2025-10-04 20:01:23.557332,-87
2025-10-04 20:01:23.599877,-82
2025-10-04 20:01:23.610631,-81
2025-10-04 20:01:23.724785,-90
2025-10-04 20:01:23.746095,-89
2025-10-04 20:01:23.777834,-84
2025-10-04 20:01:23.788745,-84
2025-10-04 20:01:23.953988,-95
2025-10-04 20:01:23.996115,-69
2025-10-04 20:01:25.322943,-82
2025-10-04 20:01:25.333855,-83
2025-10-04 20:01:25.540069,-94
2025-10-04 20:01:25.550731,-93
2025-10-04 20:01:25.739811,-91
2025-10-04 20:01:26.161726,-91
2025-10-04 20:01:26.172312,-92
2025-10-04 20:01:26.539733,-60
2025-10-04 20:01:26.561178,-59
2025-10-04 20:01:26.572346,-58
